legislator,party,state,chamber,district,bioguide_id
Commish. Pablo José Hernández Rivera [D-PR],Democrat,PR,House,00,H001103
President Donald Trump [R],Republican,,House,NA,NA
Rep. Aaron Bean [R-FL4],Republican,FL,House,04,B001314
Rep. Abraham Hamadeh [R-AZ8],Republican,AZ,House,08,H001098
Rep. Adam Gray [D-CA13],Democrat,CA,House,13,G000605
Rep. Adam Smith [D-WA9],Democrat,WA,House,09,S000510
Rep. Addison McDowell [R-NC6],Republican,NC,House,06,M001240
Rep. Adelita Grijalva [D-AZ7],Democrat,AZ,House,07,G000606
Rep. Adrian Smith [R-NE3],Republican,NE,House,03,S001172
Rep. Adriano Espaillat [D-NY13],Democrat,NY,House,13,E000297
Rep. Al Green [D-TX9],Democrat,TX,House,09,G000553
Rep. Alexandria Ocasio-Cortez [D-NY14],Democrat,NY,House,14,O000172
Rep. Alma Adams [D-NC12],Democrat,NC,House,12,A000370
Rep. Ami Bera [D-CA6],Democrat,CA,House,06,B001287
Rep. Andrea Salinas [D-OR6],Democrat,OR,House,06,S001226
Rep. Andrew Clyde [R-GA9],Republican,GA,House,09,C001116
Rep. Andrew Garbarino [R-NY2],Republican,NY,House,02,G000597
Rep. Andrew Ogles [R-TN5],Republican,TN,House,05,O000175
Rep. André Carson [D-IN7],Democrat,IN,House,07,C001072
Rep. Andy Biggs [R-AZ5],Republican,AZ,House,05,B001302
Rep. Andy Harris [R-MD1],Republican,MD,House,01,H001052
Rep. Angie Craig [D-MN2],Democrat,MN,House,02,C001119
Rep. Ann Wagner [R-MO2],Republican,MO,House,02,W000812
Rep. Anna Luna [R-FL13],Republican,FL,House,13,L000596
Rep. April McClain Delaney [D-MD6],Democrat,MD,House,06,M001232
Rep. Ashley Hinson [R-IA2],Republican,IA,House,02,H001091
Rep. August Pfluger [R-TX11],Republican,TX,House,11,P000048
Rep. Aumua Amata Radewagen [R-AS],Republican,AS,House,00,R000600
Rep. Austin Scott [R-GA8],Republican,GA,House,08,S001189
Rep. Ayanna Pressley [D-MA7],Democrat,MA,House,07,P000617
Rep. Barry Loudermilk [R-GA11],Republican,GA,House,11,L000583
Rep. Barry Moore [R-AL1],Republican,AL,House,01,M001212
Rep. Becca Balint [D-VT],Democrat,VT,House,00,B001318
Rep. Ben Cline [R-VA6],Republican,VA,House,06,C001118
