project_id,fiscal_year,member_name,state,district,recipient_name,project_description,amount_requested,award_id,award_amount,award_year,awarding_agency,match_score,match_status
earmark_000001,2022,Alma Adams,,,,Cure Violence Charlotte Implementation,1000000,,,,,,missing_recipient
earmark_000002,2022,Alma Adams,,,,"West Boulevard Health Clinic at Stratford Richardson YMCA, Charlotte, NC, Mecklenburg County, NC-12",2657760,,,,,,missing_recipient
earmark_000003,2022,Alma Adams,,,,"Unified Workforce Development Program Expansion, Mecklenburg County, NC-12",999803,,,,,,missing_recipient
earmark_000004,2022,Alma Adams,,,,"Camino Behavioral Health Services Renovations, Charlotte, NC, Mecklenburg County, NC-12",184000,,,,,,missing_recipient
earmark_000005,2022,Alma Adams,,,,C.W. Williams Community Health Center Facility Improvements,1125000,,,,,,missing_recipient
earmark_000006,2022,Alma Adams,,,,Next Step Pilot Project,230000,,,,,,missing_recipient
earmark_000007,2022,Alma Adams,,,,Hoke Townhomes Development,400000,,,,,,missing_recipient
earmark_000008,2022,Alma Adams,,,,Grier Heights Master-Planned Community Project,4500000,,,,,,missing_recipient
earmark_000009,2022,Alma Adams,,,,"Three Sisters Market Food Cooperative, Charlotte, NC, Mecklenburg County, NC-12",750000,,,,,,missing_recipient
earmark_000010,2022,Alma Adams,,,,Downtown Pineville Intersection Redesign,1435000,,,,,,missing_recipient
earmark_000011,2022,Robert Aderholt,,,,Systems Engineering Technician Education Initiative,550000,,,,,,missing_recipient
earmark_000012,2022,Robert Aderholt,,,,Outreach to underserved and rural schools to enhance student achievement,400000,,,,,,missing_recipient
earmark_000013,2022,Robert Aderholt,,,,Capstone Rural Health Clinic at Nauvoo,725000,,,,,,missing_recipient
earmark_000014,2022,Robert Aderholt,,,,"Demolition of Blighted Properties and Purchase and Rehab of Tax Sales and Foreclosed Properties, Sheffield, AL, Colbert County, AL04",500000,,,,,,missing_recipient
earmark_000015,2022,Pete Aguilar,,,,Rancho Cucamonga Library Second Story and Beyond Project,1000000,,,,,,missing_recipient
earmark_000016,2022,Pete Aguilar,,,,City of Rialto Body-Worn Camera Upgrade,700000,,,,,,missing_recipient
earmark_000017,2022,Pete Aguilar,,,,City of Redlands Emergency Operations Center Improvement Project,850000,,,,,,missing_recipient
earmark_000018,2022,Pete Aguilar,,,,"Mary's Mercy Center, Inc. (MMC) Realizing Educational and Career Hopes (REACH) Project",300000,,,,,,missing_recipient
earmark_000019,2022,Pete Aguilar,,,,COVID-19 Response Expanded Mental Health Services,100000,,,,,,missing_recipient
earmark_000020,2022,Pete Aguilar,,,,Moving KVCR into the Future,900000,,,,,,missing_recipient
earmark_000021,2022,Pete Aguilar,,,,Increasing Access to Healthcare Program,375000,,,,,,missing_recipient
earmark_000022,2022,Pete Aguilar,,,,Downtown Upland Main Street Economic Recovery and Revitalization Project,1000000,,,,,,missing_recipient
earmark_000023,2022,Pete Aguilar,,,,San Bernardino International Airport Runway Repair Project,1000000,,,,,,missing_recipient
earmark_000024,2022,Pete Aguilar,,,,Habitat for Humanity's Veterans Blitz Build,800000,,,,,,missing_recipient
earmark_000025,2022,Colin Allred,,,,Combatting Human Trafficking,1187000,,,,,,missing_recipient
earmark_000026,2022,Colin Allred,,,,Pediatric Mental Health,860000,,,,,,missing_recipient
earmark_000027,2022,Colin Allred,,,,Learning Loss Program for Underserved Students,890000,,,,,,missing_recipient
earmark_000028,2022,Colin Allred,,,,COVID-19 Impact on Students,400000,,,,,,missing_recipient
earmark_000029,2022,Colin Allred,,,,Center for Implementation Science,1000000,,,,,,missing_recipient
earmark_000030,2022,Colin Allred,,,,Pediatric Mental Health Innovation Center,850000,,,,,,missing_recipient
